Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
64,50,2526218,0.02388824528092733,0.99176,1.4427784779403783,0.7502,0.0001,10.05,2024-05-31 04:51:57.483134
64,100,2526218,0.010106791131337747,0.99664,1.527119668978679,0.7585,0.0001,20.1,2024-05-31 05:02:00.228856
64,150,2526218,0.006224613008655065,0.9979,1.5758785718603978,0.7559,0.0001,30.4,2024-05-31 05:12:18.834863
64,200,2526218,0.004716306856917212,0.99866,1.5941499788549882,0.7608,0.0001,41.166666666666664,2024-05-31 05:23:04.973031
64,250,2526218,0.003375397362999226,0.99878,1.663600266734256,0.7638,0.0001,53.983333333333334,2024-05-31 05:35:53.154289
64,300,2526218,0.004111850074359306,0.99882,1.6295179407807845,0.7728,0.0001,65.11666666666666,2024-05-31 05:47:01.755899
64,350,2526218,0.004318128093196403,0.9986,1.6544080255906792,0.7737,0.0001,88.31666666666666,2024-05-31 06:10:13.295273
64,400,2526218,0.005646769356921457,0.9983,1.6387782368478896,0.7725,0.0001,111.33333333333333,2024-05-31 06:33:14.236721
64,450,2526218,2.2214349366754562e-05,1.0,1.9688992334317557,0.7859,0.0001,123.25,2024-05-31 06:45:09.328837
64,500,2526218,2.849225516646556e-09,1.0,3.077738390693182,0.7859,0.0001,133.96666666666667,2024-05-31 06:55:52.593993
64,550,2526218,0.0047806101160620396,0.99866,1.9158330099492134,0.7781,0.0001,151.63333333333333,2024-05-31 07:13:32.340237
64,600,2526218,1.7238577410665158e-07,1.0,2.6760693743259094,0.7807,0.0001,164.31666666666666,2024-05-31 07:26:13.292673
64,650,2526218,0.0019557796186778255,0.99924,1.9486239990101586,0.7757,0.0001,183.95,2024-05-31 07:45:51.214303
64,700,2526218,0.005194842121094171,0.99842,1.7953806662861305,0.7697,0.0001,201.91666666666666,2024-05-31 08:03:49.502855
64,750,2526218,5.875522280562957e-07,1.0,2.535374991501434,0.7821,0.0001,222.76666666666668,2024-05-31 08:24:40.550734
64,800,2526218,0.00021094468194413776,0.99992,2.0140011567103713,0.7784,0.0001,239.35,2024-05-31 08:41:15.652695
64,850,2526218,0.0016422869742088767,0.99944,1.9418010123168365,0.7676,0.0001,261.56666666666666,2024-05-31 09:03:28.548455
64,900,2526218,0.003002942885874742,0.99912,1.6514451903632925,0.7752,0.0001,281.7,2024-05-31 09:23:36.591528
64,950,2526218,0.00031552872725601017,0.99994,2.12494649464571,0.7723,0.0001,292.76666666666665,2024-05-31 09:34:40.534934
64,1000,2526218,0.0004697839966519428,0.9999,1.9107071342347544,0.782,0.0001,313.1166666666667,2024-05-31 09:55:01.136768
