Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
512,50,12108516,0.031081601603985633,0.99032,4.254091483128222,0.4307,0.0001,9.183333333333334,2024-05-31 16:42:24.979513
512,100,12108516,0.02660257552269265,0.9916,4.222839781000644,0.4396,0.0001,16.883333333333333,2024-05-31 16:50:06.672614
512,150,12108516,0.010779417778906154,0.99658,4.450224595733836,0.4361,0.0001,24.683333333333334,2024-05-31 16:57:54.695292
512,200,12108516,0.016105053455369663,0.99514,4.346031285539458,0.4357,0.0001,32.4,2024-05-31 17:05:37.730720
512,250,12108516,0.01186246828926305,0.99618,4.698216208928748,0.443,0.0001,40.1,2024-05-31 17:13:19.508426
512,300,12108516,0.009606498530433376,0.99696,4.299967964993248,0.4284,0.0001,49.63333333333333,2024-05-31 17:22:51.984724
512,350,12108516,0.007838492449496009,0.9976,4.41503482227084,0.442,0.0001,57.28333333333333,2024-05-31 17:30:31.000068
512,400,12108516,0.008788077756609542,0.99724,4.03857969332345,0.4369,0.0001,65.06666666666666,2024-05-31 17:38:18.103273
512,450,12108516,0.00868652189703537,0.99736,3.8047419469567796,0.4402,0.0001,72.73333333333333,2024-05-31 17:45:57.334297
512,500,12108516,0.007485545750159756,0.99764,3.72278553021105,0.4356,0.0001,80.48333333333333,2024-05-31 17:53:43.035703
512,550,12108516,0.007134831738271935,0.99784,3.6333359615712224,0.4364,0.0001,88.08333333333333,2024-05-31 18:01:18.515181
512,600,12108516,0.0075165692044329565,0.9977,3.4126661185976825,0.4338,0.0001,95.75,2024-05-31 18:08:59.130254
512,650,12108516,0.007369036655395657,0.99782,3.6199426243576824,0.4303,0.0001,103.45,2024-05-31 18:16:40.306071
512,700,12108516,0.007349067085465263,0.99798,3.6078566207161433,0.4377,0.0001,111.2,2024-05-31 18:24:26.021920
512,750,12108516,0.005970208254860077,0.99824,3.5300300875796546,0.4394,0.0001,118.85,2024-05-31 18:32:04.244546
512,800,12108516,0.00733900858128257,0.99798,3.095462433899505,0.4384,0.0001,126.51666666666667,2024-05-31 18:39:44.679434
512,850,12108516,0.0064725662462402035,0.99796,3.873343371137788,0.428,0.0001,134.23333333333332,2024-05-31 18:47:27.808966
512,900,12108516,0.007795570354769401,0.99794,3.5875678152977666,0.4391,0.0001,141.91666666666666,2024-05-31 18:55:09.050143
512,950,12108516,0.007878447719759395,0.99814,3.4513187710242934,0.4391,0.0001,149.61666666666667,2024-05-31 19:02:50.256484
512,1000,12108516,0.0072280471253914754,0.99824,3.6018536709531954,0.447,0.0001,157.31666666666666,2024-05-31 19:10:32.273388
