Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
64,50,1890084,1.3698872711957264,0.61308,3.841120022761671,0.2511,0.0001,12.683333333333334,2024-06-07 18:17:51.872263
64,100,1890084,0.49483624740939613,0.84608,5.484661078151269,0.2414,0.0001,25.283333333333335,2024-06-07 18:30:28.448105
64,150,1890084,0.24403253163370636,0.9222,6.576815393906605,0.2424,0.0001,37.86666666666667,2024-06-07 18:43:03.253766
64,200,1890084,0.16246170950743855,0.94844,7.292793213566648,0.246,0.0001,50.96666666666667,2024-06-07 18:56:09.675941
64,250,1890084,0.12371532719039247,0.95992,7.665743519988241,0.2414,0.0001,63.916666666666664,2024-06-07 19:09:06.719328
64,300,1890084,0.09883447348252129,0.96822,7.988060190707823,0.2434,0.0001,77.01666666666667,2024-06-07 19:22:12.803626
64,350,1890084,0.08604014365483656,0.97236,8.296323945250693,0.243,0.0001,90.06666666666666,2024-06-07 19:35:15.711876
64,400,1890084,0.06583114358289238,0.97916,8.407214858863927,0.2457,0.0001,104.01666666666667,2024-06-07 19:49:12.119415
64,450,1890084,0.06475966281074164,0.97948,8.634900135330007,0.2463,0.0001,117.11666666666666,2024-06-07 20:02:17.921705
64,500,1890084,0.05436976847912916,0.98296,8.830661526209191,0.2461,0.0001,129.88333333333333,2024-06-07 20:15:04.616995
64,550,1890084,0.04812025515091084,0.98394,8.961373081690148,0.2446,0.0001,142.93333333333334,2024-06-07 20:28:07.445032
64,600,1890084,0.04905188804054085,0.98474,9.02237519131431,0.249,0.0001,155.7,2024-06-07 20:40:53.612736
64,650,1890084,0.043278955572220446,0.98636,9.093687129926078,0.2487,0.0001,168.01666666666668,2024-06-07 20:53:12.053161
64,700,1890084,0.04151475532045897,0.9873,9.249445033978812,0.247,0.0001,180.35,2024-06-07 21:05:32.728738
64,750,1890084,0.03657999302229613,0.98794,9.344980330406864,0.2509,0.0001,192.6,2024-06-07 21:17:47.272918
64,800,1890084,0.036260989596150206,0.98798,9.399542730065841,0.249,0.0001,204.88333333333333,2024-06-07 21:30:04.402702
