Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
256,50,4957540,0.32481371037795415,0.90142,4.735355168958254,0.2932,0.0001,12.483333333333333,2024-06-21 13:09:44.450390
256,100,4957540,0.11483217643864473,0.96472,5.711661676817302,0.3045,0.0001,25.0,2024-06-21 13:22:15.664132
256,150,4957540,0.07147180337859008,0.97708,6.074517883831942,0.3053,0.0001,37.483333333333334,2024-06-21 13:34:44.785656
256,200,4957540,0.056319231567594705,0.98246,6.318173649944836,0.3055,0.0001,49.95,2024-06-21 13:47:12.714498
256,250,4957540,0.04385965097400234,0.9861,6.52967320212835,0.3078,0.0001,62.55,2024-06-21 13:59:48.821711
256,300,4957540,0.03580952892937433,0.98798,6.694634304770941,0.3068,0.0001,75.05,2024-06-21 14:12:17.951943
256,350,4957540,0.03322274944282916,0.9896,6.8885247435750845,0.3053,0.0001,87.55,2024-06-21 14:24:47.931690
256,400,4957540,0.029478763772027038,0.99018,6.959813908685612,0.3139,0.0001,100.1,2024-06-21 14:37:21.095400
256,450,4957540,0.028046359714177793,0.99096,7.067553948752487,0.3073,0.0001,112.71666666666667,2024-06-21 14:49:58.160378
256,500,4957540,0.024064968476462584,0.99228,7.100387651709061,0.3102,0.0001,125.2,2024-06-21 15:02:27.610569
256,550,4957540,0.02449615640730104,0.99214,7.265969843804082,0.3108,0.0001,137.76666666666668,2024-06-21 15:15:01.268037
256,600,4957540,0.023447029867514377,0.99252,7.224965391279776,0.309,0.0001,150.33333333333334,2024-06-21 15:27:35.119010
256,650,4957540,0.022284881799699754,0.9928,7.3534026749526396,0.3115,0.0001,162.81666666666666,2024-06-21 15:40:04.077846
256,700,4957540,0.01924170579155669,0.9938,7.5201240491263475,0.3091,0.0001,175.86666666666667,2024-06-21 15:53:07.738663
256,750,4957540,0.01557873863616096,0.99476,7.349263366264633,0.3146,0.0001,188.5,2024-06-21 16:05:45.908810
256,800,4957540,0.016168148612187905,0.99482,7.505263582060609,0.3179,0.0001,201.15,2024-06-21 16:18:24.546155
