Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
3,50,2395,1.851064182817936,0.45875,1.4032920267008528,0.6082,0.035355339059327376,0.15,2024-03-22 22:09:10.603084
3,100,2395,1.8090981356799603,0.47625,1.3707085364981542,0.6283,0.02886751345948129,0.3,2024-03-22 22:09:20.299192
3,150,2395,1.7909030392765999,0.48,1.361966194985788,0.6227,0.025,0.4666666666666667,2024-03-22 22:09:30.292009
3,200,2395,1.7744218781590462,0.4855,1.3726704331892956,0.6063,0.022360679774997897,0.6166666666666667,2024-03-22 22:09:38.957419
3,250,2395,1.765771009027958,0.482,1.3709206747103342,0.5978,0.020412414523193152,0.7666666666666667,2024-03-22 22:09:47.683539
3,300,2395,1.7472629994153976,0.48475,1.40278045437004,0.5708,0.01889822365046136,0.9166666666666666,2024-03-22 22:09:57.002318
3,350,2395,1.7411757297813892,0.48575,1.3918332284009909,0.5818,0.017677669529663688,1.0666666666666667,2024-03-22 22:10:05.983153
3,400,2395,1.7302394583821297,0.4815,1.391166299204283,0.5748,0.016666666666666666,1.2333333333333334,2024-03-22 22:10:15.456598
3,450,2395,1.7225295789539814,0.48625,1.407162978679319,0.5612,0.015811388300841896,1.3833333333333333,2024-03-22 22:10:24.724265
3,500,2395,1.7300316952168941,0.48425,1.4031955199905588,0.5658,0.015075567228888182,1.5333333333333334,2024-03-22 22:10:33.697916
3,550,2395,1.7295533902943134,0.47775,1.406445722036724,0.5602,0.014433756729740645,1.6833333333333333,2024-03-22 22:10:42.982729
3,600,2395,1.7156910635530949,0.48575,1.3978639071500754,0.565,0.01386750490563073,1.85,2024-03-22 22:10:52.633657
3,650,2395,1.7103178463876247,0.4845,1.4074105869365643,0.5546,0.01336306209562122,2.0,2024-03-22 22:11:01.955858
3,700,2395,1.7119425423443317,0.48525,1.3963884658451322,0.5657,0.012909944487358056,2.15,2024-03-22 22:11:11.266270
3,750,2395,1.7055465877056122,0.4835,1.4019952574862709,0.5585,0.0125,2.3,2024-03-22 22:11:20.178884
