Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
2,50,1600,1.0733415260910988,0.62475,1.1911272097237502,0.574,0.035355339059327376,0.48333333333333334,2024-03-06 20:54:35.233277
2,100,1600,1.0067816749215126,0.6485,1.1812795294991023,0.5826,0.02886751345948129,0.9666666666666667,2024-03-06 20:55:04.988263
2,150,1600,0.9831288624554873,0.657,1.151656224003321,0.6005,0.025,1.4666666666666666,2024-03-06 20:55:34.457650
2,200,1600,0.9552846867591143,0.666,1.1832724666293664,0.5896,0.022360679774997897,1.9666666666666666,2024-03-06 20:56:04.338650
2,250,1600,0.9499935638159513,0.669,1.1533931493759155,0.6024,0.020412414523193152,2.45,2024-03-06 20:56:33.408916
2,300,1600,0.9290703162550926,0.676,1.162279716775387,0.6064,0.01889822365046136,2.9166666666666665,2024-03-06 20:57:02.008339
2,350,1600,0.9269779287278652,0.67925,1.1542489702188516,0.6066,0.017677669529663688,3.4166666666666665,2024-03-06 20:57:31.279589
2,400,1600,0.9197427332401276,0.6885,1.1620995583413523,0.6021,0.016666666666666666,3.9166666666666665,2024-03-06 20:58:01.780910
2,450,1600,0.9167316183447838,0.68225,1.1787982092627995,0.5997,0.015811388300841896,4.416666666666667,2024-03-06 20:58:31.496314
2,500,1600,0.9121119435876608,0.68725,1.1681186715258827,0.6023,0.015075567228888182,4.9,2024-03-06 20:59:00.460943
2,550,1600,0.9025711677968502,0.6905,1.1733944853649865,0.6008,0.014433756729740645,5.366666666666666,2024-03-06 20:59:28.393478
2,600,1600,0.9005942121148109,0.68975,1.1696556429319744,0.6052,0.01386750490563073,5.833333333333333,2024-03-06 20:59:56.995641
2,650,1600,0.8913717977702618,0.698,1.174859223486502,0.6028,0.01336306209562122,6.316666666666666,2024-03-06 21:00:25.851588
2,700,1600,0.8915380202233791,0.69825,1.1754651258263407,0.6064,0.012909944487358056,6.8,2024-03-06 21:00:54.957970
2,750,1600,0.8856729418039322,0.69525,1.168446521215801,0.6027,0.0125,7.283333333333333,2024-03-06 21:01:23.739568
2,800,1600,0.883684728294611,0.6975,1.1822785101359403,0.6036,0.012126781251816649,7.783333333333333,2024-03-06 21:01:53.424757
2,850,1600,0.8862412571907043,0.69875,1.1749629597120648,0.6032,0.011785113019775794,8.25,2024-03-06 21:02:21.749797
2,900,1600,0.8690377771854401,0.697,1.179851602149915,0.6033,0.011470786693528088,8.733333333333333,2024-03-06 21:02:51.130929
2,950,1600,0.871531767770648,0.69825,1.1797574237932134,0.6017,0.011180339887498949,9.216666666666667,2024-03-06 21:03:20.025203
2,1000,1600,0.8714355137199163,0.69775,1.1839560851266113,0.5991,0.010910894511799621,9.7,2024-03-06 21:03:48.513102
2,1050,1600,0.867547232657671,0.70175,1.1871008752267571,0.5981,0.010660035817780522,10.183333333333334,2024-03-06 21:04:17.819925
2,1100,1600,0.8690254539251328,0.70075,1.2005213574518132,0.596,0.01042572070285374,10.65,2024-03-06 21:04:46.119571
2,1150,1600,0.8669957704842091,0.698,1.1878609347947036,0.6014,0.010206207261596576,11.15,2024-03-06 21:05:15.535765
2,1200,1600,0.859330341219902,0.7025,1.1953772547878796,0.604,0.01,11.616666666666667,2024-03-06 21:05:43.527529
2,1250,1600,0.8608021885156631,0.7,1.1974972758112075,0.5986,0.009805806756909202,12.1,2024-03-06 21:06:13.049218
2,1300,1600,0.8601664118468761,0.7025,1.2069742030735258,0.5988,0.009622504486493762,12.583333333333334,2024-03-06 21:06:41.678581
2,1350,1600,0.8580569326877594,0.701,1.203535042231596,0.6032,0.00944911182523068,13.066666666666666,2024-03-06 21:07:10.921680
2,1400,1600,0.8581024650484324,0.70175,1.2084532613995709,0.6011,0.009284766908852594,13.533333333333333,2024-03-06 21:07:39.063302
2,1450,1600,0.8554060105234385,0.699,1.20645866741108,0.6012,0.009128709291752768,14.033333333333333,2024-03-06 21:08:08.245804
2,1500,1600,0.854358296841383,0.69825,1.1989034391656708,0.5993,0.008980265101338746,14.5,2024-03-06 21:08:36.422731
2,1550,1600,0.857599250972271,0.69975,1.2039623079420645,0.5978,0.008838834764831844,15.0,2024-03-06 21:09:06.216229
2,1600,1600,0.8470390513539314,0.70075,1.2065838658356969,0.5989,0.008703882797784893,15.466666666666667,2024-03-06 21:09:34.482082
2,1650,1600,0.846602713689208,0.70375,1.204078023946738,0.5977,0.008574929257125443,15.933333333333334,2024-03-06 21:10:03.065656
2,1700,1600,0.8426586780697107,0.703,1.2114211268062833,0.5982,0.008451542547285166,16.416666666666668,2024-03-06 21:10:31.968713
2,1750,1600,0.8428836334496737,0.703,1.2104651294177091,0.5992,0.008333333333333333,16.916666666666668,2024-03-06 21:11:01.169470
2,1800,1600,0.8440765999257565,0.7035,1.210157235966453,0.598,0.008219949365267865,17.4,2024-03-06 21:11:30.330034
2,1850,1600,0.8450546767562628,0.70275,1.216950258876704,0.5971,0.008111071056538128,17.866666666666667,2024-03-06 21:11:59.083366
2,1900,1600,0.8438389170914888,0.704,1.2141504974304875,0.5985,0.008006407690254357,18.366666666666667,2024-03-06 21:12:29.107439
2,1950,1600,0.8449107091873884,0.70525,1.2220685821545274,0.5984,0.007905694150420948,18.866666666666667,2024-03-06 21:12:58.209287
2,2000,1600,0.8425238467752934,0.7035,1.227429834347737,0.5926,0.007808688094430304,19.35,2024-03-06 21:13:27.719952
2,2050,1600,0.8370325490832329,0.70425,1.2221441691434836,0.5953,0.007715167498104596,19.833333333333332,2024-03-06 21:13:56.957971
2,2100,1600,0.8382580485194921,0.7065,1.2151981946788257,0.5978,0.007624928516630234,20.316666666666666,2024-03-06 21:14:25.457197
2,2150,1600,0.8384958915412426,0.7035,1.2196174543115157,0.5973,0.007537783614444091,20.816666666666666,2024-03-06 21:14:55.378858
2,2200,1600,0.8411098252981901,0.7055,1.2281073588359206,0.5985,0.007453559924999299,21.283333333333335,2024-03-06 21:15:23.952922
2,2250,1600,0.8382676262408495,0.707,1.2444194261031816,0.5986,0.007372097807744857,21.783333333333335,2024-03-06 21:15:53.949350
2,2300,1600,0.8400350343436003,0.70725,1.2269797928725616,0.5976,0.007293249574894728,22.283333333333335,2024-03-06 21:16:23.867058
2,2350,1600,0.8394815791398287,0.707,1.2366619992859755,0.5972,0.007216878364870323,22.766666666666666,2024-03-06 21:16:52.610065
2,2400,1600,0.8372857384383678,0.705,1.2262560725212097,0.6004,0.0071428571428571435,23.266666666666666,2024-03-06 21:17:22.399298
2,2450,1600,0.8426613304764032,0.7075,1.2246294738371162,0.5967,0.007071067811865475,23.766666666666666,2024-03-06 21:17:52.387220
2,2500,1600,0.828688120469451,0.7055,1.2275075188165978,0.5977,0.007001400420140049,24.233333333333334,2024-03-06 21:18:21.094225
2,2550,1600,0.8392567597329617,0.706,1.2329429916188688,0.5993,0.006933752452815365,24.733333333333334,2024-03-06 21:18:51.067072
2,2600,1600,0.829838864505291,0.7065,1.2365771184993695,0.5975,0.006868028197434452,25.216666666666665,2024-03-06 21:19:19.201897
2,2650,1600,0.8282059319317341,0.708,1.2419562913194488,0.593,0.006804138174397717,25.683333333333334,2024-03-06 21:19:47.620160
2,2700,1600,0.8327961694449186,0.706,1.2310783508457714,0.6002,0.006741998624632421,26.183333333333334,2024-03-06 21:20:17.303374
2,2750,1600,0.8257591500878334,0.7075,1.2293897369239903,0.5995,0.00668153104781061,26.683333333333334,2024-03-06 21:20:47.420015
2,2800,1600,0.8315112665295601,0.70775,1.2329159137568897,0.5944,0.006622661785325219,27.15,2024-03-06 21:21:15.648103
2,2850,1600,0.8280740045011044,0.705,1.2336491210551201,0.5985,0.006565321642986128,27.65,2024-03-06 21:21:45.230953
2,2900,1600,0.8246037494391203,0.70675,1.236480107035818,0.5982,0.0065094455490411944,28.116666666666667,2024-03-06 21:22:13.470401
2,2950,1600,0.8264266084879637,0.70975,1.2340458903131606,0.5977,0.006454972243679028,28.6,2024-03-06 21:22:42.296946
2,3000,1600,0.8320707101374865,0.707,1.2416148087646388,0.5992,0.0064018439966448,29.066666666666666,2024-03-06 21:23:11.116624
2,3050,1600,0.8284676130861044,0.70975,1.2395830637292018,0.5947,0.006350006350009525,29.55,2024-03-06 21:23:39.285606
2,3100,1600,0.82391257584095,0.709,1.2492943557002876,0.5957,0.00629940788348712,30.033333333333335,2024-03-06 21:24:09.115433
2,3150,1600,0.8260810226202011,0.70925,1.243403353268587,0.5952,0.00625,30.533333333333335,2024-03-06 21:24:38.989044
2,3200,1600,0.8275525569915771,0.7105,1.2411328010921236,0.5972,0.006201736729460424,31.016666666666666,2024-03-06 21:25:07.886190
2,3250,1600,0.8222239874303341,0.70825,1.2415406266345252,0.5973,0.006154574548966636,31.5,2024-03-06 21:25:36.425472
2,3300,1600,0.8261967077851295,0.71,1.243485810635965,0.5943,0.006108472217815261,31.966666666666665,2024-03-06 21:26:04.291565
2,3350,1600,0.825065366923809,0.70725,1.2422596842427798,0.5956,0.006063390625908324,32.45,2024-03-06 21:26:33.475293
2,3400,1600,0.8263496812433004,0.706,1.2412623348115366,0.5955,0.00601929265428846,32.916666666666664,2024-03-06 21:27:01.403148
2,3450,1600,0.8260064721107483,0.71,1.2470495942272717,0.5931,0.005976143046671968,33.4,2024-03-06 21:27:30.344751
2,3500,1600,0.8295020274817944,0.7085,1.2464145233359518,0.5938,0.005933908290969267,33.88333333333333,2024-03-06 21:27:59.964897
2,3550,1600,0.8163871970027685,0.7105,1.2396755859821658,0.598,0.005892556509887897,34.38333333333333,2024-03-06 21:28:29.520510
2,3600,1600,0.8258147966116667,0.709,1.2456481607654426,0.5971,0.005852057359806529,34.86666666666667,2024-03-06 21:28:58.223839
2,3650,1600,0.8254115227609873,0.7115,1.256929186326039,0.5941,0.005812381937190965,35.35,2024-03-06 21:29:27.791227
2,3700,1600,0.8188470229506493,0.70975,1.2545972398564786,0.5976,0.005773502691896257,35.833333333333336,2024-03-06 21:29:57.023549
2,3750,1600,0.8205944132059813,0.70925,1.2452662111837653,0.5968,0.005735393346764044,36.333333333333336,2024-03-06 21:30:26.338993
2,3800,1600,0.8201362118124962,0.71,1.2541919214816033,0.5967,0.005698028822981897,36.78333333333333,2024-03-06 21:30:54.140908
2,3850,1600,0.8241189736872911,0.709,1.2586254688757885,0.5961,0.005661385170722979,37.28333333333333,2024-03-06 21:31:24.049731
2,3900,1600,0.8238627817481756,0.71175,1.2544931746736359,0.5957,0.00562543950463012,37.766666666666666,2024-03-06 21:31:52.373536
2,3950,1600,0.8170634042471647,0.70775,1.2469489808324017,0.5936,0.005590169943749474,38.25,2024-03-06 21:32:21.662334
2,4000,1600,0.8222632240504026,0.70975,1.2718427603757834,0.5935,0.005555555555555556,38.733333333333334,2024-03-06 21:32:50.440472
