Hidden Neurons,Epochs,Parameters,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Learning Rate,Time Cost,Date-Time
70,50,55660,0.014937312880647369,1.0,0.6581370685709333,0.8718,0.05,1.8166666666666667,2023-10-18 10:16:16.708906
70,100,55660,0.007574616131023504,1.0,0.6474695890151625,0.8788,0.035355339059327376,3.55,2023-10-18 10:18:01.078410
70,150,55660,0.00547700677998364,1.0,0.6439934695504983,0.8807,0.02886751345948129,5.266666666666667,2023-10-18 10:19:44.199463
70,200,55660,0.004408622487972025,1.0,0.6414914809880613,0.8823,0.025,7.016666666666667,2023-10-18 10:21:28.930693
70,250,55660,0.0037815053401573095,1.0,0.6400793116433616,0.8836,0.022360679774997897,8.783333333333333,2023-10-18 10:23:15.403707
70,300,55660,0.003308794228360057,1.0,0.6391018141279162,0.8845,0.020412414523193152,10.566666666666666,2023-10-18 10:25:01.676319
70,350,55660,0.00302117921091849,1.0,0.6383448799930608,0.8848,0.01889822365046136,12.333333333333334,2023-10-18 10:26:47.856981
70,400,55660,0.002765327866654843,1.0,0.637867114270884,0.8855,0.017677669529663688,14.116666666666667,2023-10-18 10:28:35.478739
70,450,55660,0.0025706795531732496,1.0,0.6373853513829505,0.8863,0.016666666666666666,17.233333333333334,2023-10-18 10:31:42.481053
70,500,55660,0.002449945346597815,1.0,0.6370962411194709,0.8864,0.015811388300841896,20.666666666666668,2023-10-18 10:35:08.188643
70,550,55660,0.0022262628735916223,1.0,0.6368849191024805,0.8871,0.015075567228888182,24.1,2023-10-18 10:38:33.958417
70,600,55660,0.002138432872015983,1.0,0.6365593511499229,0.8877,0.014433756729740645,27.516666666666666,2023-10-18 10:41:59.265678
70,650,55660,0.0020489335802267306,1.0,0.6364229579833395,0.8879,0.01386750490563073,31.1,2023-10-18 10:45:33.960826
70,700,55660,0.0019672344060381874,1.0,0.6362880448474773,0.8885,0.01336306209562122,34.63333333333333,2023-10-18 10:49:05.790321
70,750,55660,0.0018546249739301857,1.0,0.6361775929167206,0.8888,0.012909944487358056,38.15,2023-10-18 10:52:37.531833
70,800,55660,0.0018016728026850615,1.0,0.636082765490076,0.889,0.0125,41.75,2023-10-18 10:56:12.959888
70,850,55660,0.0017852362179837655,1.0,0.6358804098695894,0.8898,0.012126781251816649,45.31666666666667,2023-10-18 10:59:47.354532
70,900,55660,0.0016886086523300037,1.0,0.6359160908356404,0.89,0.011785113019775794,49.35,2023-10-18 11:03:49.197067
70,950,55660,0.0016383200454583857,1.0,0.6358454536345988,0.89,0.011470786693528088,51.166666666666664,2023-10-18 11:05:38.371332
70,1000,55660,0.0015708452556282282,1.0,0.6357824038625753,0.89,0.011180339887498949,53.05,2023-10-18 11:07:31.526390
70,1050,55660,0.0015362023095804034,1.0,0.6356866937454885,0.8901,0.010910894511799621,54.93333333333333,2023-10-18 11:09:23.861992
70,1100,55660,0.0014996655918366741,1.0,0.6355622471663865,0.8902,0.010660035817780522,56.8,2023-10-18 11:11:15.860188
70,1150,55660,0.0014531234901369317,1.0,0.6355768235347269,0.8904,0.01042572070285374,58.63333333333333,2023-10-18 11:13:06.129454
70,1200,55660,0.0014381242199306143,1.0,0.6354993462527194,0.8904,0.010206207261596576,60.5,2023-10-18 11:14:57.646547
70,1250,55660,0.0014169919049891178,1.0,0.6354711341312085,0.8906,0.01,62.333333333333336,2023-10-18 11:16:47.615829
70,1300,55660,0.0013744355601374991,1.0,0.6354070679885866,0.8905,0.009805806756909202,64.16666666666667,2023-10-18 11:18:37.657077
70,1350,55660,0.0013294130440044682,1.0,0.6354593302600698,0.8905,0.009622504486493762,66.01666666666667,2023-10-18 11:20:28.613455
70,1400,55660,0.0013001592924410943,1.0,0.6354030069211333,0.8905,0.00944911182523068,67.86666666666666,2023-10-18 11:22:20.006418
70,1450,55660,0.0012989407987333834,1.0,0.6353598985514497,0.8905,0.009284766908852594,69.68333333333334,2023-10-18 11:24:09.362036
70,1500,55660,0.0012756002543028444,1.0,0.6353654544063714,0.8906,0.009128709291752768,71.48333333333333,2023-10-18 11:25:57.147654
70,1550,55660,0.0012262385807844112,1.0,0.6352949404449473,0.8906,0.008980265101338746,73.21666666666667,2023-10-18 11:27:41.190073
70,1600,55660,0.0012145008313382277,1.0,0.635291584817504,0.8906,0.008838834764831844,74.93333333333334,2023-10-18 11:29:23.779107
70,1650,55660,0.001205908822157653,1.0,0.635248587923596,0.8906,0.008703882797784893,76.91666666666667,2023-10-18 11:31:22.650468
70,1700,55660,0.0011804540608864045,1.0,0.6352388349426557,0.8908,0.008574929257125443,78.95,2023-10-18 11:33:25.224454
70,1750,55660,0.0011539106362761231,1.0,0.635229465025595,0.8907,0.008451542547285166,81.01666666666667,2023-10-18 11:35:28.710051
70,1800,55660,0.0011285853815934388,1.0,0.6351880014614686,0.8908,0.008333333333333333,83.05,2023-10-18 11:37:31.266446
70,1850,55660,0.0011115099277958507,1.0,0.6352141737551841,0.8907,0.008219949365267865,84.96666666666667,2023-10-18 11:39:26.527482
70,1900,55660,0.0010984507516695885,1.0,0.6351765765840942,0.891,0.008111071056538128,86.85,2023-10-18 11:41:19.319961
70,1950,55660,0.0011151935286761727,1.0,0.6351886314569819,0.891,0.008006407690254357,88.7,2023-10-18 11:43:09.869046
70,2000,55660,0.0010853376516024582,1.0,0.635194691857382,0.8911,0.007905694150420948,90.45,2023-10-18 11:44:55.435238
